id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,ping
0,4.28,4.676,11.32,3.339,,,,,,,,,,,,,6.835
2,4.28,4.676,11.32,3.339,,,,,,,,,,,,,0.155
3,4.28,4.676,11.32,3.339,,,,,,,,,,,,,1.018
4,4.28,4.676,11.32,3.339,,,,,,,,,,,,,0.728
5,4.28,4.676,11.32,3.339,,,,,,,,,,,,,1.432
6,4.28,4.676,11.32,3.339,,,,,,,,,,,,,52.865
7,4.28,4.676,11.32,3.339,,,,,,,,,,,,,5.032
8,4.28,4.675,11.32,3.339,,,,,,,,,,,,,4.126
9,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.273
10,4.28,4.676,11.32,3.339,,,,,,,,,,,,,23.911
11,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.373
12,4.28,4.675,11.32,3.339,,,,,,,,,,,,,17.415
13,4.28,4.676,11.32,3.339,,,,,,,,,,,,,22.671
14,4.28,4.676,11.32,3.339,,,,,,,,,,,,,17.261
15,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.977
17,4.28,4.676,11.32,3.339,,,,,,,,,,,,,45.778
18,4.28,4.676,11.32,3.339,,,,,,,,,,,,,4.583
19,4.28,4.675,11.32,3.339,,,,,,,,,,,,,10.1
20,4.28,4.675,11.32,3.339,,,,,,,,,,,,,25.57
21,4.28,4.676,11.32,3.339,,,,,,,,,,,,,14.25
22,4.28,4.675,11.32,3.339,,,,,,,,,,,,,25.277
23,4.28,4.676,11.32,3.339,,,,,,,,,,,,,14.51
24,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.176
28,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.436
29,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.831
30,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.547
31,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.854
36,4.28,4.676,11.32,3.339,,,,,,,,,,,,,57.03
37,4.28,4.676,11.32,3.339,,,,,,,,,,,,,6.828
38,4.28,4.675,11.32,3.339,,,,,,,,,,,,,1.476
39,4.28,4.675,11.32,3.339,,,,,,,,,,,,,15.082
40,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.564
41,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.678
42,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.397
43,4.28,4.676,11.32,3.339,,,,,,,,,,,,,25.628
44,4.28,4.676,11.32,3.339,,,,,,,,,,,,,14.475
45,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.789
46,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.92
47,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.046
48,4.28,4.676,11.32,3.339,,,,,,,,,,,,,25.2
49,4.28,4.675,11.32,3.339,,,,,,,,,,,,,14.781
50,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.183
51,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.071
52,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.831
53,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.989
54,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.271
55,4.28,4.675,11.32,3.339,,,,,,,,,,,,,24.795
60,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.058
61,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.908
62,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.349
63,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.991
64,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.951
65,4.28,4.675,11.32,3.339,,,,,,,,,,,,,47.574
66,4.28,4.675,11.32,3.339,,,,,,,,,,,,,11.739
67,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.195
68,4.28,4.676,11.32,3.339,,,,,,,,,,,,,4.176
69,4.28,4.676,11.32,3.339,,,,,,,,,,,,,16.632
70,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.886
72,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.748
73,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.042
76,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.133
77,4.28,4.676,11.32,3.339,,,,,,,,,,,,,23.041
78,4.28,4.676,11.32,3.339,,,,,,,,,,,,,16.767
79,4.28,4.676,11.32,3.339,,,,,,,,,,,,,23.818
80,4.28,4.676,11.32,3.339,,,,,,,,,,,,,16.169
81,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.719
82,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.995
83,4.28,4.676,11.32,3.339,,,,,,,,,,,,,17.434
84,4.28,4.676,11.32,3.339,,,,,,,,,,,,,22.745
85,4.28,4.676,11.32,3.339,,,,,,,,,,,,,17.418
86,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.845
87,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.155
88,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.646
89,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.5
90,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.849
91,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.1
92,4.28,4.675,11.32,3.339,,,,,,,,,,,,,26.542
93,4.28,4.675,11.32,3.339,,,,,,,,,,,,,14.451
94,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.331
97,4.28,4.675,11.32,3.339,,,,,,,,,,,,,21.583
98,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.639
99,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.129
100,4.28,4.675,11.32,3.339,,,,,,,,,,,,,21.094
102,4.28,4.676,11.32,3.339,,,,,,,,,,,,,41.558
103,4.28,4.675,11.32,3.339,,,,,,,,,,,,,4.264
104,4.28,4.675,11.32,3.339,,,,,,,,,,,,,14.713
105,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.378
106,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.181
107,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.004
108,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.919
109,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.944
110,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.001
111,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.95
112,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.784
113,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.349
114,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.045
115,4.28,4.675,11.32,3.339,,,,,,,,,,,,,23.913
117,4.28,4.676,11.32,3.339,,,,,,,,,,,,,17.9
118,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.717
119,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.564
120,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.55
121,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.803
125,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.791
126,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.269
127,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.781
128,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.253
129,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.181
130,4.28,4.675,11.32,3.339,,,,,,,,,,,,,22.914
131,4.28,4.676,11.32,3.339,,,,,,,,,,,,,16.805
132,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.974
134,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.495
135,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.513
136,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.042
137,4.28,4.675,11.32,3.339,,,,,,,,,,,,,48.533
138,4.28,4.675,11.32,3.339,,,,,,,,,,,,,4.025
139,4.28,4.675,11.32,3.339,,,,,,,,,,,,,7.623
141,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.673
142,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.535
143,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.813
144,4.28,4.676,11.32,3.339,,,,,,,,,,,,,31.893
145,4.28,4.675,11.32,3.339,,,,,,,,,,,,,7.125
146,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.755
147,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.815
148,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.847
149,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.778
150,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.404
151,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.73
152,4.28,4.676,11.32,3.339,,,,,,,,,,,,,21.016
153,4.28,4.676,11.32,3.339,,,,,,,,,,,,,19.206
154,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.092
155,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.817
156,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.096
157,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.841
158,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.483
159,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.456
160,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.491
161,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.288
162,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.382
164,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.127
165,4.28,4.675,11.32,3.339,,,,,,,,,,,,,20.04
166,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.823
168,4.28,4.675,11.32,3.339,,,,,,,,,,,,,23.031
169,4.28,4.675,11.32,3.339,,,,,,,,,,,,,17.311
170,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.785
171,4.28,4.676,11.32,3.339,,,,,,,,,,,,,24.069
172,4.28,4.675,11.32,3.339,,,,,,,,,,,,,18.764
173,4.28,4.675,11.32,3.339,,,,,,,,,,,,,16.98
178,4.28,4.675,11.32,3.339,,,,,,,,,,,,,19.99
179,4.28,4.676,11.32,3.339,,,,,,,,,,,,,20.339
180,4.28,4.675,11.32,3.339,,,,,,,,,,,,,21.313
181,4.28,4.676,11.32,3.339,,,,,,,,,,,,,18.196
183,4.28,4.676,11.32,3.339,,,,,,,,,,,,,23.308
184,4.28,4.675,11.32,3.339,,,,,,,,,,,,,16.98
